A. Olshantezky
A. Olshantetzky
H. Kopit
H.A. Russoto
Sylvia Schwartz
Morris Fried
S. Steinberg
Max Petrovsky
Levitzky
Maurice Schwartz
J. Cherniavsky
L. Andreeff
Joseph Achron
H
H. Meisel  
B. Tomaschefsky 
#VALUE!
Halévy
Charlie Cohan
Weisser 
Mogin David Orchestra
B. Rosenthal
Anna Toback
Sigmund Mogilewski
Mogalesko
: P. German
D. Pokrass
L
Toiber
Bernardi
Joseph Shapiro
Osofsky
M. Machtenburg's Choir
Joseph Schribman
J. Rapaport
M. Pozner
J. Shlisky
M. Posner
Art Shryer
Gustave Guttman
Art Shryer and another
W. Myrowitz 
Jacob Silbert
Silbert
D. Myerowitz
Silverbush
Wm. Siegel
Sadie Wachtel
Sam Silverbush
 Sam Silverbush
 Simon Paskal
 Ruth Miller
 Silverbush
 Miller
Abraham Silverbush
J. Lillian
Small 
Halfernus
Acadas Yitzchak
Rosenfield
Solomon Smulewitz
M. Rubinstein
D. Myrowitz
S. Mogulesko
Meisel
Rooney
H. Komopott
D. Meyerwitz
Smulewitz
S. Mogulesco
Mogulesco
Mogulescu
Gilroy
Joseph M. Rumschinsky
Carl Correda Ross
Leo Loew
Abraham S. Ellstein
Myra Sokolskaya
Leonard Joy
Moishele Soorkis
Abe S. Ellstein
Israel J
Scherman
Sam Levenwert
Solomon Stramer
Jacobson
D. Stramer
Sherman
Anshel Schorr
Shulem Secunda
S.H. Cohen
O. Gruner
Benumen Blanc
Alsaneski
Prof
Lyda Paalzov 
Psalm CXXVL
A. Suokenig
W. Siegel
D. Taraski
D. Tarras
Sammy Beckerman
Irving Graetz
Sam Blank
Jack Fiedel
J. Gratz
E. Schlein
Kornblath
Sololarefsky
P. Singer
A. Schoor 
Samuel Vigoda
Harry Lubin 
E. Schnipelisky 
E. Schnipelisky
May Singhi Breen
Jack Shilkret
 Sylvia Schwartz
Ch. Tobier
ack Simkins
Irving Nazer
Max Weissman
A
Kamele Weitz
Zeuberg
Max Willner
S. Schwartz
A. Schwarz
Moishe Nadir
Gall Stones 
Joseph Winogradoff
M. Shalitt
Rossini
Bernard Woolff
Goldberg
Max Yankowitz
Mordecai Yardeini
B. Fiedler
Zaira 
Jack Yellen
Joe Gould
Al Dubin
Henri Klickmann
Daniel Yates
Sophie Kemper
Sonia Gladstone
Morris Round 
Cohan
Bennie Zeidman
Levin-Kipnis
N. Nardi
Nachum Nardi
Broides
Jos. Frankel
A. Goldfaden 
Tomaschefsky
J. Silbert
Bomberg
Anshel Schoor 
Louis Friedsel
Herman Wohl
Bowers
Sholom Secunda
A. Ellstein
Fred Wise
Kerwin Drake
Mart Fryberg
Ilia Trilling
Lew Pollack
J. Jacobs
O. Ostroff
C. Towber
Roskin
Schneyer
Pinski
Wohl
Louis Friedsell
Jos. Kammen
Peretz Sandler
Rosenthal
H. Wohl
B. Katz
Silberta
Fisher
Rev. Mendelssohn
L. Gilrod
A. Schorr
De Sylva
L. Markowitz
S. Smulewitz
I. Rosenberg
L. Friedsell
Max M. Cohan
Joseph M. Rumshisky
S. Secunda
L. Wolfe Gilbert
P. Sandler
Sam Coslow
Yudele Belezer
J.M. Rumshisky
op. 16
M. Gelbart
Henry Lefkowitch
A. Bernstein
Perlmutter
Bizet
Halévy
Joseph Cherniavsky
Secunda
Jakov Medvedieff
S. Weisser
L. Stenier
Joseph M. Rumshinsky
Lebeder
Isidore Schuchat
Jack Grossman
Leonard Joy
Rhea Silberta
Judel Dubinsky
Tovie Schmaichel
M. Brooks
Meyrowitz
Mogulesco
L. Friedsel
Joe Young
S. Moguleske
Shean
Rubin Doktor
Cohn
A. Hart
Gilrod
Harry Lubin
Abe Schwartz
Rumshisky
Schwartz
A. Schwartz
Sandler
Morris Goldstein
A. Teres
D. Smith
Birnberg
F. Kanapoff
I. Lillian
Meyerowitz
Coslow
Epstein
Man Romun
Shilkret
Medvedieff
Jaffe
Platon Brounoff
Brody
L. Cohen
Friedzel
Jos. Brody
Jack Kammen
Jacob Jacobs
J. Brody
A. Lebedeff
Silberstein
Manna
Mr. Brodwin
Goldstein
Krone
E. De Curtis
Vitali Koretzky
Tosti
Calefactor
Lampkovsky
Pinchus Lavenda
ShloSoerg
P. Lavenda
Lebedeff
Aaron Lebedeff
Shargel
Friedsell
Monti
O. Steiner
D. Medoff
Natanson
H. Mysell
Millaud
J. Rumshinsky
Tache Popescu
E.M. Frussino
Jonel Bratianu
Samuel Secunda
Henry A. Rusotto
Rumshinsky
Molly Picon
Abe Ellstein
Putterman
De Sylva 
Zucce
Brown 
Sherman 
A. Olshanetsky
L. Pollack
Roubanis
Alex Olshanetsky
H. Grant 
Jacobs
D. Zattas-H 
Mana Zucca
Lillian 
Di Capua
Zucca
Nat Shilkret
Joseph Rosenblatt
H.B. Silberstein
D. Meyerowitz
Estey
Perlmutter 
Boris Rosenthal
E. Spivak
Henry A. Russotto
N.L. Saslavsky
Brody-Friedsell
Schargel
Salomen Rozowsky
Sternberg
Achron
Reisen
Ludwig Satz
Sholem Aleichem
J. Cherniavsky
L. Satz
L. Saminsky
Brown
Herman Arbnowitz
Archie Arbnowitz
Pete Wendling
Alfredo Cibelli
B. Zidman
Joseph Kammen
Miss Brill
Joe Lazarz
D. Zattas
Henderson
Jolson
