37062,22678,Viola/Acoustic Guitar,,
37062,22674,Accordion,,
37062,10692,Contra Bass,,
37062,10693,Percussion,,
37062,10689,Keyboards,,
37062,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37062,10694,Bass Trombone,,Guest Artist
37062,22676,Trumpet,,Guest Artist
37061,10688,,,
37061,10690,Clarinet/Musical Direction/Arranger,,
37061,22673,Violin,,
37061,22677,Vocal,,
37061,22678,Viola/Acoustic Guitar,,
37061,22674,Accordion,,
37061,10692,Contra Bass,,
37061,10693,Percussion,,
37061,10689,Keyboards,,
37061,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37061,10694,Bass Trombone,,Guest Artist
37061,22676,Trumpet,,Guest Artist
37060,10688,,,
37060,10690,Clarinet/Musical Direction/Arranger,,
37060,22673,Violin,,
37060,22678,Viola/Acoustic Guitar,,
37060,22674,Accordion,,
37060,10692,Contra Bass,,
37060,10693,Percussion,,
37060,10689,Keyboards,,
37060,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37060,10694,Bass Trombone,,Guest Artist
37060,22676,Trumpet,,Guest Artist
37058,10688,,,
37058,10690,Clarinet/Musical Direction/Arranger,,
37058,22673,Violin,,
37058,22678,Viola/Acoustic Guitar,,
37058,22674,Accordion,,
37058,10692,Contra Bass,,
37058,10693,Percussion,,
37058,10689,Keyboards,,
37058,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37058,10694,Bass Trombone,,Guest Artist
37058,22676,Trumpet,,Guest Artist
37057,10688,,,
37057,10690,Clarinet/Musical Direction/Arranger,,
37057,22673,Violin,,
37057,22678,Viola/Acoustic Guitar,,
37057,22674,Accordion,,
37057,10692,Contra Bass,,
37057,10693,Percussion,,
37057,10689,Keyboards,,
37057,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37057,10694,Bass Trombone,,Guest Artist
37057,22676,Trumpet,,Guest Artist
37055,10688,,,
37055,10690,Clarinet/Musical Direction/Arranger,,
37055,22673,Violin,,
37055,22678,Viola/Acoustic Guitar,,
37055,22674,Accordion,,
33778,1838,Vocal,,
37055,10692,Contra Bass,,
37055,10693,Percussion,,
37055,10689,Keyboards,,
37055,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37055,10694,Bass Trombone,,Guest Artist
37055,22676,Trumpet,,Guest Artist
37053,10688,,,
37053,10690,Clarinet/Musical Direction/Arranger,,
37053,22673,Violin,,
37053,22678,Viola/Acoustic Guitar,,
37053,22674,Accordion,,
37053,10692,Contra Bass,,
37053,10693,Percussion,,
37053,10689,Keyboards,,
37053,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37053,10694,Bass Trombone,,Guest Artist
37053,22676,Trumpet,,Guest Artist
37051,10688,,,
37051,10690,Clarinet/Musical Direction/Arranger,,
37051,22673,Violin,,
37051,22678,Viola/Acoustic Guitar,,
37051,22674,Accordion,,
37051,10692,Contra Bass,,
37051,10693,Percussion,,
37051,10689,Keyboards,,
37051,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37051,10694,Bass Trombone,,Guest Artist
37051,22676,Trumpet,,Guest Artist
29813,5410,Piano,,
30338,5410,Piano,,
37068,21880,Vocal,,
37074,21880,Vocal,,
37075,21880,Vocal,,
37076,21880,Vocal,,
37077,21880,Vocal,,
37078,21880,Vocal,,
37079,21880,Vocal,,
37080,21880,Vocal,,
37081,21880,Vocal,,
37082,21880,Vocal,,
37083,21880,Vocal,,
37084,21880,Vocal,,
37086,21880,Vocal,,
37087,21880,Vocal,,
37088,21880,Vocal,,
37100,22685,"Vocals, Guitar, Paino, Synthesizer",,
37111,22691,,,
37104,22685,"Vocals, Guitar, Paino, Synthesizer",,
37101,22685,"Vocals, Guitar, Paino, Synthesizer",,
37102,22685,"Vocals, Guitar, Paino, Synthesizer",,
37103,22685,"Vocals, Guitar, Paino, Synthesizer",,
37105,22685,"Vocals, Guitar, Paino, Synthesizer",,
37106,22685,"Vocals, Guitar, Paino, Synthesizer",,
37107,22685,"Vocals, Guitar, Paino, Synthesizer",,
37108,22685,"Vocals, Guitar, Paino, Synthesizer",,
37109,22685,"Vocals, Guitar, Paino, Synthesizer",,
37110,22685,"Vocals, Guitar, Paino, Synthesizer",,
37111,22685,,,
37112,22695,Violin,,
37100,22692,Vocals,,
37100,22693,Vocals and Drums,,
37100,22694,Accordion and Vocals,,
37100,22695,Violin,,
37101,22692,Vocals,,
37101,22693,Vocals and Drums,,
37101,22694,Accordion and Vocals,,
37101,22695,Violin,,
37102,22692,Vocals,,
37102,22693,Vocals and Drums,,
37102,22694,Accordion and Vocals,,
37102,22695,Violin,,
37103,22692,Vocals,,
37103,22693,Vocals and Drums,,
37103,22694,Accordion and Vocals,,
37103,22695,Violin,,
37104,22692,Vocals,,
37104,22693,Vocals and Drums,,
37104,22694,Accordion and Vocals,,
37104,22695,Violin,,
37105,22692,Vocals,,
37105,22693,Vocals and Drums,,
37105,22694,Accordion and Vocals,,
37105,22695,Violin,,
37106,22692,Vocals,,
37106,22693,Vocals and Drums,,
37106,22694,Accordion and Vocals,,
37106,22695,Violin,,
37107,22692,Vocals,,
37107,22693,Vocals and Drums,,
37107,22694,Accordion and Vocals,,
37107,22695,Violin,,
37108,22692,Vocals,,
37108,22693,Vocals and Drums,,
37108,22694,Accordion and Vocals,,
37108,22695,Violin,,
37109,22692,Vocals,,
37109,22693,Vocals and Drums,,
37109,22694,Accordion and Vocals,,
37109,22695,Violin,,
37110,22692,Vocals,,
37110,22693,Vocals and Drums,,
37110,22694,Accordion and Vocals,,
37111,22695,Violin,,
37111,22692,Vocals,,
37111,22693,Vocals and Drums,,
37111,22694,Accordion and Vocals,,
37112,22694,Accordion and Vocals,,
37112,22693,Vocals and Drums,,
37112,22692,Vocals,,
37112,22685,"Vocals, Guitar, Paino, Synthesizer",,
37090,22682,Voice and Guitar,,
37090,22683,Musical Producion and Arrangements,,
37091,22682,Voice and Guitar,,
37091,22683,Musical Producion and Arrangements,,
37092,22682,Voice and Guitar,,
37092,22683,Musical Producion and Arrangements,,
37092,22684,Guitar,,
37093,22682,Voice and Guitar,,
37093,22683,Musical Producion and Arrangements,,
37093,22684,Guitar,,
37097,22682,Voice and Guitar,,
37097,22683,Musical Producion and Arrangements,,
37097,22684,Guitar,,
37096,22682,Voice and Guitar,,
37096,22683,Musical Producion and Arrangements,,
37099,22682,Voice and Guitar,,
37099,22683,Musical Producion and Arrangements,,
37098,22682,Voice and Guitar,,
39525,6690,,,
39526,6690,,,
39528,6690,,,
39491,23720,Electric Guitar,,
39491,23722,Acoustic/Electric Bass,,
39491,23723,Percussion,,
39492,23723,,Percussion,
39492,11186,"Clarinet/Bass Clarinet
Norton, Kevin",,
39492,23720,Electric Guitar,,
39492,21898,Accordion,,
39492,23722,Acoustic and Electric Bass,,
39492,23723,Percussion,,
37844,2204,,,
37839,2204,,,
37840,10165,,,
37843,1150,,,
37841,2204,,,
37842,2204,,,
