artist
Lillian Lux
Tunkeler
Machtenburg Male Choir
Meyer Machtenburg
Machtenburg
Herbert Slotnick
Samuel Malavsky
Yossele Rosenblatt
Henry Spector
Joseph Schreibman
Rose Gross
Joseph Mann
Abraham Manovitz
Delphine March
H.L. Martin
Grigori Matusewitz
Vittorio Monti
Peter Nevsky
J. Samos
Grigori Matusewitzh
David Medoff
Rae Solovieva Medoff
Ukrainian Church Chorus
O. Virag
O. Steiner
Eugen Pártos
Mario Perry
Mishka Ziganoff
William H. Reitz
Guy Massey
Gorodetzer
Eddie Scarpa
Basil Fomeen
Bogarde
Felisi
S. Medoff
Chana
Ghza Medvedieff
Jacob Medvedieff
Medvedieff Trio
I.R. Berman
Suboff
Aleksander Zarzycki
R. Rosovskaia Medvedieff
Mykola Lysenko
Bella Meisel
Isaiah Meisels
Mendelssohn Trio
Rubinstein
Natanson
Hyman Mysell
Robert Stoltz
A. Minkowsky
von Pe'suches Harun
von Rosh Ch'udesh Benshen
Moses Mirsky
Maurice Mischeloff
Mixed Plaza Quartette
Mixed Quartette
Columbia Mixed Quartette
Joseph Morgenstern
Leroy Shieid
Abraham Moskowitz
Max Yussim
Johannes Brahms
Julius Lenzberg
Leo Edwards
L. Wiest
Darius Milhaud
Rubin
Émile Waldteufel
F. Henri Klickmann
Harry Alford
Cirillo
Anna Nathanson
Edward Vozzella
Folgman
A. Osofsky
Julius Nathanson
Choir Of The Jewish National Workers Alliance
Irving Nazer
A. Weissman
Mary Nebur
William Nemrel
Bella Nevarra
Moishe Oysher
Jacob Weinberg
Alexander Olshanetsky's Orkester
A. Olshanetsky's Orchestra
Brunswick Concert Orchestra
A. Olshanetsky Und Sein Orkester
Menashe Oppenheim
D. Strunk
Oriental Orchestra
Feigele Panitz
J.Y. Sherman
Narcissi Ludovic Daus
Charles Malo
Alin Burlanescu
Tache Popescu
Kings Orchestra
Mahai Eminescu
E.M. Frussino
Mihail Zamphirescu
Jonel Bratianu
Ollim
P. Vioreanu
B. Reznik
Jacob Altman
L. Praskin
Nathaniel Skillret
Estelle Shreiner
M. Zavodnick
Henry A. Rusotto
Perlmutter's Orchestra
Jacob Kalisch
I. Manger
S. Jacobs
Regina Prager
Melitz Joisher
Alperin
John F. Burckhardt
William Pugatsky
David Putterman
Joseph Koppel Sandle
Al Sherman
Abner Silver
Al Lewis
Harry Raderman
Raderman's And Beckerman's Orch.
Alex Fiedel
Sam Heller
Jack Rechtzeit
Seymour Rexite
Chaim Towber
Nicholas Roubanis
Chaim Tauber
H. Lenk
H. Grant
S. Abeles
H. Granos
Ludwig Satz
Fannie Reinhart
Ada Rattner
Samuel Rosenstein
Peretz Hirshbein
Ira B. Arnstein
Jacob Leiserowitz
Minnie Herman
Beckie Cohen
Barnet Bermein
Eduardo Di Capua
David Roitman
S. Gosinsky
Mr. Rose
Henry A. Rosotto
Choir Of The First Hungarian Congregation Ohab Zedek
Jules Massenet
M. Heller
R. Kazmirsky
Meilach Kaufman
Abraham Goldfadden
Clement Barone
Lew Shilkret
Isadore Freed
Estey
Isidore Freed
Edwin Clark
Lea Rosenthal
Abraham Rosenstein
Nachum Sternheim
Bizante
Terres
Leon Rosenstein
Adolf Philipp
Jean Briquet
Mr. Rosenstein
C. Rosenthal
Sadie Rosenthal
Shloimele Rothstein
A. Lichtenstein
Samuel Lessin
E. Spivak
Henry A. Russotto
I. Goichberg
Zeidel Rovner
Seidel Rovner's Choir
Seidel Rovner's Orchestra
Menachem Rubin
Rubin Popik
Rose Rubin
William Ziegenlaub
Moshe Rudinow
