"titleID","altTitleID"
"T22659","T4379"
"T7145","T4381"
"T40970","T4391"
"T41052","T4402"
"T4713","T4410"
"T42086","T4411"
"T40971","T4438"
"T43328","T4438"
"T7463","T4452"
"T41116","T4486"
"T40866","T4514"
"T39303","T4545"
"T12507","T4561"
"T43232","T4566"
"T13941","T4578"
"T9367","T4578"
"T40915","T4580"
"T16172","T4636"
"T11014","T4655"
"T13291","T4655"
"T21660","T4655"
"T8364","T4655"
"T40878","T4656"
"T40879","T4657"
"T40873","T4658"
"T40877","T4660"
"T40886","T4663"
"T40868","T4665"
"T40883","T4666"
"T40894","T4667"
"T40874","T4668"
"T40884","T4670"
"T40895","T4671"
"T4678","T4679"
"T8137","T4679"
"T9928","T4679"
"T4686","T4689"
"T41319","T4697"
"T4696","T4697"
"T11046","T4730"
"T5132","T4730"
"T6553","T4730"
"T6631","T4730"
"T6705","T4730"
"T40918","T4740"
"T40869","T4770"
"T40867","T4771"
"T42817","T4809"
"T41966","T4828"
"T4357","T4828"
"T15056","T4836"
"T5604","T4839"
"T4865","T4862"
"T40906","T4941"
"T1843","T4947"
"T19519","T4947"
"T40887","T4950"
"T43078","T4963"
"T21619","T4969"
"T40932","T4969"
"T43210","T4969"
"T42008","T4984"
"T10189","T5004"
"T11977","T5004"
"T4034","T5004"
"T41066","T5004"
"T41069","T5004"
"T41070","T5004"
"T41109","T5004"
"T4545","T5004"
"T4548","T5004"
"T41159","T5007"
"T11881","T5016"
"T4949","T5016"
"T41011","T5032"
"T43161","T5050"
"T41018","T5051"
"T5062","T5060"
"T9277","T5087"
"T10497","T5122"
"T43199","T5122"
"T4347","T5125"
"T41012","T5127"
"T41281","T5127"
"T40946","T5133"
"T42033","T5136"
"T22517","T5137"
"T40910","T5137"
"T5162","T5163"
"T16055","T5199"
"T43326","T5201"
"T40960","T5217"
"T11497","T5227"
"T5229","T5227"
"T15382","T5251"
"T676","T5267"
"T5611","T5288"
"T5613","T5288"
"T41087","T5306"
"T42512","T5306"
"T42526","T5306"
"T13218","T5308"
"T14633","T5329"
"T41174","T5329"
"T3222","T533"
"T42004","T5339"
