"trackID","catalogueNumber"
"R10428","5006"
"R10429","T.5626-A / T.5626-B"
"R1043","VZL 103/104"
"R10430","T.5625-A / T.5625-B"
"R10431","T.5624-A / T.5624-B"
"R10432","T.5627-A / T.5627-B"
"R10433","T.5629-A / T.5629-B"
"R10434","T.5628-A / T.5628-B"
"R10435","WST17052"
"R10436","XWN-19052"
"R10437","8.559452"
"R10438","25-5095-A / 25-5095-B"
"R10439","LPS 251"
"R1044","VZL 411/412"
"R10440","SFM 008-A"
"R10441","SFM 008-B"
"R10442","CD-SFM008"
"R10443","CD-SFM008"
"R10444","L.P. 105"
"R10445","D115457"
"R10446","MT 34568"
"R10447","PGM 113"
"R10448","A 15"
"R10449","PHS 200-177"
"R1045","8111 A / 8111 B"
"R10450","PHM 200-177"
"R10451","A3453"
"R10452","10-1220-B / 10-1220-A"
"R10453","PRM 196"
"R10454","BAN 14396"
"R10455","MCD61746"
"R10456","MFS 746"
"R10457","5708 B / 5708 A"
"R10458","10-113-A / 10-113-B"
"R10459",""
"R1046","LS-8 A / LS-8 B"
"R10460","111341"
"R10461","SI 31004"
"R10462","VZL 109/110"
"R10463","PLP 29"
"R10464","JSA 1115"
"R10465","JSA 1116"
"R10466","JSA 1117"
"R10467","15220"
"R10468","BAN 14661"
"R10469","74681"
"R1047","S 89508"
"R10470","13271"
"R10471","DL 6007"
"R10472","88190"
"R10473","6280-A / 6280-B"
"R10474","88190"
"R10475","8.559415"
"R10476","BAN 14704"
"R10477","CDC 7 49581 2"
"R10478","S-1007"
"R10479","2113-D"
"R1048","38-1014-B / 38-1014-A"
"R10480","68639-A / 68639-B"
"R10481","S&S 101"
"R10482","25195-A / 25195-B"
"R10483","25145-A / 25145-B"
"R10484","D-22"
"R10485","87239"
"R10486","TG-81960"
"R10487","1070-A / 1070-B"
"R10488","R.L. 7000"
"R10489","348"
"R1049","V-59031-A / V-59031-B"
"R10490","38-1044-A / 38-1044-B"
"R10491","WS 104 / 53-2514-A / 53-2514-B / 53-2515-A / 53-2515-B"
"R10492","BAN 14018"
"R10493","BAN14053"
"R10494","M 190"
"R10495","L-5890"
"R10496","38356"
"R10497","BR 101"
"R10498","BR 101"
"R10499","AP 336"
"R105","MM 30570"
"R1050","RS839B; RS840C"
"R10500","88095"
"R10501","WST17163"
"R10502","AN 44-89"
"R10503","211551 / 211550"
"R10504","67279-B / 67279-A"
"R10505","N-9-SH-RH-Y-P1/2"
"R10506","49112 B / 49112 A"
"R10507","0211534 A / 0211535 A"
"R10508","F2583"
"R10509","2583"
"R1051","43-D"
"R10510","ARS1-0028"
"R10511","246 / 247"
"R10512","SDBR3284"
"R10513","17336-A / 17336-B"
"R10514","LCT 14"
"R10515","CAL 254"
"R10516","17338-A"
"R10517","17342-A / 17342-B"
"R10518","17342-S"
"R10519","17343-B / 17343-A"
"R1052","VZL 261/262"
"R10520","17344-A / 17344-B"
"R10521","17337-A / 17337-B"
"R10522","ML 4425"
"R10523","LC 3072"
"R10524","LL.1232"
"R10525","CS 6661"
"R10526","P 18012"
"R10527","VCS 10007"
"R10528","16603-A / 16603-B"
"R10529","16603-A / 16603-B"
"R1053","E-29"
"R10530","3050"
"R10531","10-1344-A / 10-1344-B"
"R10532","DA 1290"
"R10533","1024-A / 1024-B"
"R10534","74562"
"R10535","17143-A / 17143-B"
"R10536","14634-A / 14634-B"
"R10537","13124"
"R10538","67462-B / 67462-A"
"R10539","13249"
"R1054","17942-A / 17942-B"
"R10540","13249"
"R10541","67720-A / 67720-B"
"R10542","V-59036-A / V-59036-B"
"R10543","8-68976-B / 8-68976-A"
"R10544","E6003"
"R10545","61082"
"R10546","67039-A / 67039-B"
"R10547","8-59085-A / 8-59085-B"
"R10548","E2855"
"R10549","50032-B / 50032-A"
"R1055",""
"R10550","936"
"R10551","5003 A / 5003 B"
"R10552","B-2081-A / B-2081-B"
"R10553","430 321-2"
"R10554","1259"
"R10555","E4170"
"R10556","17260-D"
"R10557","C.P.33"
"R10558","64314"
"R10559","721-B / 721-A"
"R1056","E 374 / E374"
"R10560","1 S"
"R10561","CS5-7020"
"R10562","E375"
"R10563","MT 34528"
"R10564","SP 9047"
"R10565","67135-B / 67135-A"
"R10566","A 67135 / B 67135"
"R10567","E3519"
"R10568","64884"
"R10569","B-2066 A / B-2066 B"
"R1057","68945-B / 68945-A"
"R10570","B-2064 A / B-2064 B"
"R10571","LM-2005"
"R10572","BAN 14123"
"R10573","1645-A / 1645-B"
"R10574","SP-1001"
"R10575",""
"R10576","C 103"
"R10577","B-535"
"R10578","45263-A / 45263-B"
"R10579","VZL 121/122"
"R1058","CZA 101"
"R10580",""
"R10581","38-100"
"R10582",""
"R10583","12-0375-A / 12-0375-B"
"R10584","04493"
"R10585","B 112"
"R10586","VS-503"
"R10587","VS-503"
"R10588","MEN-219"
"R10589","D-5981"
"R1059","MH-1052-A / MH-1052-B"
"R10590","FAM-1018"
"R10591","FAM-1018"
"R10592","79-2200"
"R10593","SLS 1031"
"R10594","SL 1031"
"R10595","XTV 60941/2"
"R10596","TR-590"
"R10597","TR-590"
"R10598","E3176"
"R10599","73166-A / 73166-B"
"R106","SA 32029"
"R1060","111"
"R10600","99-82"
"R10601","GRC-3770"
"R10602","CMS 516"
"R10603","AP 344"
"R10604","FW 8738"
"R10605","F.5285"
"R10606","LSP-3363"
"R10607","LPM-3363"
"R10608","VZL 433/434"
"R10609","LP 1"
"R1061","82759"
"R10610","SI 31098"
"R10611","M-7362"
"R10612","102343"
"R10613","102655"
"R10614",""
"R10615","102741"
"R10616","102333"
"R10617","CH 1-6994"
"R10618","T 47"
"R10619",""
"R1062","CBS83348"
"R10620","E3695"
"R10621","S 72748"
"R10622","ATD 8504"
"R10623","20-3577-A / 20-3577-B"
"R10624",""
"R10625","05472-77372-2"
"R10626","0572-77372-2"
"R10627","ALE 102"
"R10628","BR 1101"
"R10629","FW 8737"
"R1063","40 25648"
"R10630","80076"
"R10631","40-80076"
"R10632","53834"
"R10633",""
"R10634","AMTI 8001"
"R10635","SSP 101"
"R10636","SSP 102"
"R10637","BR 50192"
"R10638","73762-A / 73762-B"
"R10639","E5045"
"R1064","AN 46-34"
"R10640","64576"
"R10641","10-0019-B / 10-0019-A"
"R10642","66022"
"R10643","64123"
"R10644","64936"
"R10645","A2753"
"R10646","1538-A / 1538-B"
"R10647","A3495"
"R10648","72433-A / 72433-B"
"R10649","64123"
"R1065","LP-102LP-1-A/B-REZ"
"R10650","601-B / 601-A"
"R10651","64576"
"R10652","74167"
"R10653","74431"
"R10654","74167"
"R10655","74167"
"R10656","3021-B / 3021-A"
"R10657","87191"
"R10658","87545"
"R10659","Program No. 49"
"R1066","CAS 15007"
"R10660","Program No. 49/50"
"R10661","74711"
"R10662","74711"
"R10663","64399"
"R10664","64710"
"R10665","87230"
"R10666","87547"
"R10667","23-0601-A / 23-0601-B"
"R10668","3018"
"R10669","10958 / 10959"
"R1067","83590"
"R10670","MICA 3227"
"R10671","TR-100/1"
"R10672","TR-102/3"
"R10673","590143"
"R10674","H-202"
"R10675","330266-2"
"R10676","T-85"
"R10677","35349"
"R10678","CG 600"
"R10679","4818-A / 4818-B"
"R1068","15365-A / 15365-B"
"R10680","JT40379"
"R10681","C/G-1"
