"trackId","sectionNum","matrixNum","placePerformed","instrumentation"
"S1158","16.880","3461-1","NY","Vocal"
"S1159","16.880","3462-1","NY","Vocal"
"S116","16.140","RS 863-A ","NY","Baritone & Piano"
"S1160","16.880","3679-2","NY","Vocal & Orchestra"
"S1161","16.880","3682-1","NY","Vocal & Orchestra"
"S1162","16.880","x","NY","Vocal"
"S1163","16.880","x","NY","Vocal"
"S1164","16.880","3731-2","NY","Vocal & Orchestra"
"S1165","16.880","3738-1","NY","Vocal & Orchestra"
"S1166","16.880","4336-1-2","NY","Vocal & Orchestra"
"S1167","16.880","4337-2","NY","Vocal & Orchestra"
"S1168","16.880","4338-1-2","NY","Vocal & Orchestra"
"S1169","16.880","4339-1","NY","Vocal & Orchestra"
"S117","16.150","44187","NY","Spoken"
"S1170","16.880","41048-2 ","NY","Vocal & Orchestra"
"S1171","16.880","41049-2 ","NY","Vocal & Orchestra"
"S1172","16.880","41050-4 ","NY","Vocal & Orchestra"
"S1173","16.880","41051-1 ","NY","Vocal & Orchestra"
"S1174","16.880","41188-2-3","NY","Vocal & Orchestra"
"S1175","16.880","41189-1-2","NY","Vocal & Orchestra"
"S1176","16.880","41190-1-2","NY","Vocal & Orchestra"
"S1177","16.880","41191-2 ","NY","Vocal & Orchestra"
"S1178","16.880","41402-1 ","NY","Vocal & Orchestra"
"S1179","16.880","41403-2 ","NY","Vocal & Orchestra"
"S118","16.150","44190","NY","Spoken"
"S1180","16.880","41404-1-2-3 ","NY","Vocal & Orchestra"
"S1181","16.880","41405-1-3","NY","Vocal & Orchestra"
"S1182","16.880","C 635-2 ","NY","Vocal & Orchestra"
"S1183","16.880","C 636","NY","Vocal & Orchestra"
"S1184","16.880","C 637","NY","Vocal & Orchestra"
"S1185","16.880","C 639","NY","Vocal & Orchestra"
"S1186","16.880","C 640","NY","Vocal & Orchestra"
"S1187","16.880","C 669","NY","Vocal & Orchestra"
"S1188","16.880","C 670","NY","Vocal & Orchestra"
"S1189","16.880","C 684","NY","Vocal & Orchestra"
"S119","16.160","x","NY","Tenor & Piano"
"S1190","16.880","C 685","NY","Vocal & Orchestra"
"S1191","16.880","T 69423","NY","Vocal"
"S1192","16.880","T 69424","NY","Vocal"
"S1193","16.880","88374-1 ","NY","Vocal & Orchestra"
"S1194","16.880","88375-1 ","NY","Vocal & Orchestra"
"S1195","16.880","S 70482-B","NY","Vocal & c, vln, tb, p "
"S1196","16.880","S 70483-A","NY","Vocal & c, vln, tb, p"
"S1197","16.880","S 70484-B ","NY","Vocal & c, vln, tb, p"
"S1198","16.880","S 70485-B ","NY","Vocal & c, vln, tb, p"
"S1199","16.880","S 70523-B ","NY","Vocal and ?"
"S12","16.100","19222-2","NY","Tenor, Orchestra, Chorus"
"S120","16.160","x","NY","Tenor & Piano"
"S1200","16.880","S 70525-B ","NY","Vocal and ?"
"S1201","16.880","8771","NY","Vocal & Orchestra"
"S1202","16.880","8773","NY","Vocal & Orchestra"
"S1203","16.880","88616-1","NY","Vocal & cl, unk vln, p "
"S1204","16.880","88617-2 ","NY","Vocal & cl, unk vln, p "
"S1205","16.880","8887","NY","Vocal and ?"
"S1206","16.880","8888","NY","Vocal and ?"
"S1207","16.880","88818-1 ","NY","Vocal & Orchestra"
"S1208","16.880","88819-3 ","NY","Vocal & Orchestra"
"S1209","16.880","S 70978-A ","NY","Vocal and ?"
"S121","16.160","x","NY","Tenor & Piano"
"S1210","16.880","S 70979-B ","NY","Vocal and ?"
"S1211","16.880","x","NY","Vocal and ?"
"S1212","16.880","x","NY","Vocal and ?"
"S1213","16.880","x","NY","Vocal & Orchestra"
"S1214","16.880","x","NY","Vocal & Orchestra"
"S1215","16.880","x","NY","Vocal & Orchestra & Choir"
"S1216","16.880","x","NY","Vocal & Orchestra & Choir"
"S1217","16.880","x","NY","Vocal & Orchestra"
"S1218","16.880","x","NY","Vocal & Orchestra"
"S1219","16.880","x","NY","Vocal & Orchestra"
"S122","16.160","x","NY","Tenor & Piano"
"S1220","16.880","x","NY","Vocal & Orchestra"
"S1221","16.880","88951-2 ","NY","Vocal & Orchestra"
"S1222","16.880","88952-1 ","NY","Vocal & Orchestra"
"S1223","16.880","42333-1 ","NY","Vocal & Orchestra"
"S1224","16.880","42334-1 ","NY","Vocal & Orchestra"
"S1225","16.880","B 27568-3 ","Camden, NJ","Vocal & Orchestra"
"S1226","16.880","B 27569-3 ","Camden, NJ","Vocal & Orchestra"
"S1227","16.880","10886","NY","Vocal & Orchestra"
"S1228","16.880","10891","NY","Vocal & Orchestra"
"S1229","16.880","S 71293-B ","NY","Vocal & Orchestra"
"S123","16.160","x","NY","Tenor & Piano"
"S1230","16.880","S 71294-A ","NY","Vocal & Orchestra"
"S1231","16.880","89165-2 ","NY","Vocal & Orchestra"
"S1232","16.880","89166-1 ","NY","Vocal & Orchestra"
"S1233","16.880","S 71493-B ","NY","Vocal and ?"
"S1234","16.880","S 71494-B ","NY","Vocal and ?"
"S1235","16.880","S 71578-B ","NY","Vocal and ?"
"S1236","16.880","S 71579-A ","NY","Vocal and ?"
"S1237","16.880","B 28289-2 ","NY","Vocal & Orchestra"
"S1238","16.880","B 28290-1 ","NY","Vocal & Orchestra"
"S1239","16.880","B 28291-2 ","NY","Vocal & Orchestra"
"S124","16.170","41905-3","NY","Tenor & Orchestra"
"S1240","16.880","B 28292-2 ","NY","Vocal & Orchestra"
"S1241","16.880","89339-1 ","NY","Vocal & Orchestra"
"S1242","16.880","89340-1 ","NY","Spoken"
"S1243","16.880","B 28292-4 ","NY","Vocal & Orchestra"
"S1244","16.880","N 70227","NY","Vocal & Orchestra"
"S1245","16.880","N 70228","NY","Vocal & Orchestra"
"S1246","16.880","B 28388-1 ","NY","Vocal & Orchestra"
"S1247","16.880","89517-1 ","NY","Vocal & Orchestra"
"S1248","16.880","89518-3 ","NY","Vocal & Orchestra"
"S1249","16.880","B 29314-2 ","NY","Vocal & bar, ten, 3 sop, c, vln, cl, tb. p, traps"
"S125","16.170","41906-4","NY","Tenor & Orchestra"
"S1250","16.880","B 29315-1 ","NY","Vocal & bar, ten, 3 sop, c, vln, cl, tb. p, traps"
"S1251","16.880","B 29316-2 ","NY","Vocal & bar, ten, 3 sop, c, vln, cl, tb. p, traps"
"S1252","16.880","B 29317-1 ","NY","Vocal & bar, ten, 3 sop, c, vln, cl, tb. p, traps"
"S1253","16.880","B 29795-2 ","NY","Vocal, Chorus, Orchestra"
"S1254","16.880","B 30078-1 ","Camden, NJ","Spoken"
"S1255","16.880","B 30084-2 ","Camden, NJ","Spoken"
"S1256","16.880","B 30718-2 ","Camden, NJ","Vocal & Orchestra"
"S1257","16.880","B 30719-3 ","Camden, NJ","Vocal & Orchestra"
