"trackID","albumID"
"P27838","AP1049"
"P27839","AP1049"
"P27840","AP1049"
"P27841","AP1049"
"P27842","AP1049"
"P27843","AP1049"
"P27844","AP1049"
"P27845","AP1049"
"P27846","AP1049"
"P27847","AP1049"
"P27848","AP1049"
"P27849","AP1049"
"P27850","AP1049"
"P27851","AP1049"
"P27852","AP1049"
"P27853","AP1049"
"P27854","AP1049"
"P27855","AP1049"
"P27856","AP1049"
"P27857","AP1049"
"P27858","AP1049"
"P27859","AP1049"
"P17699","AP105"
"P17977","AP105"
"P19734","AP105"
"P20368","AP105"
"P5094","AP105"
"P6949","AP105"
"P7017","AP105"
"P745","AP105"
"P7636","AP105"
"P8058","AP105"
"P9097","AP105"
"P945","AP105"
"P9692","AP105"
"P27748","AP1050"
"P27749","AP1050"
"P27750","AP1050"
"P27751","AP1050"
"P27752","AP1050"
"P27753","AP1050"
"P27754","AP1050"
"P27755","AP1050"
"P29780","AP1051"
"P29781","AP1051"
"P29782","AP1051"
"P29783","AP1051"
"P29784","AP1051"
"P30211","AP1051"
"P30212","AP1051"
"P31665","AP1051"
"P31666","AP1051"
"P31667","AP1051"
"P31668","AP1051"
"P31669","AP1051"
"P31670","AP1051"
"P31671","AP1051"
"P31672","AP1051"
"P29408","AP1052"
"P29409","AP1052"
"P29410","AP1052"
"P29745","AP1052"
"P29746","AP1052"
"P29747","AP1052"
"P29748","AP1052"
"P31436","AP1052"
"P31437","AP1052"
"P31438","AP1052"
"P31439","AP1052"
"P31440","AP1052"
"P31441","AP1052"
"P31442","AP1052"
"P21668","AP1053"
"P21669","AP1053"
"P21670","AP1053"
"P21671","AP1053"
"P21672","AP1053"
"P21673","AP1053"
"P21674","AP1053"
"P21675","AP1053"
"P21676","AP1053"
"P21677","AP1053"
"P21678","AP1053"
"P21679","AP1053"
"P21680","AP1053"
"P21681","AP1053"
"P21682","AP1053"
"P21683","AP1053"
"P21684","AP1053"
"P21685","AP1053"
"P21686","AP1053"
"P21687","AP1053"
"P21688","AP1053"
"P21689","AP1053"
"P21690","AP1053"
"P21691","AP1053"
"P21692","AP1053"
"P21693","AP1053"
"P21694","AP1053"
"P21695","AP1053"
"P21696","AP1053"
"P21697","AP1053"
"P21698","AP1053"
"P10646","AP1054"
"P11137","AP1054"
"P1125","AP1054"
"P14099","AP1054"
"P14523","AP1054"
"P15080","AP1054"
"P15528","AP1054"
"P15814","AP1054"
"P17055","AP1054"
"P17673","AP1054"
"P17809","AP1054"
"P1914","AP1054"
"P19208","AP1054"
"P2381","AP1054"
"P4935","AP1054"
