16526,Ch'sidishe Nigunim (Traditional Music) Pt. 1,06/1927,1927,
16527,Ch'sidishe Nigunim (Traditional Music) Pt. 2,06/1927,1927,
16528,Der Becher (The Gobbler) (The Goblet),08/23/1928,1928,
16529,Simchas Toire (Joy Of The Covenant),08/23/1928,1928,
16530,Hashkiveinu,01/07/1931,1931,
16531,Wehugen Baadenu ,01/07/1931,1931,
16532,Uchar Kupietz ,05/1928,1928,In Russian
16533,Ya Tzyganka Molodaya ,05/1928,1928,In Russian
16534,Unzer Rebbin's Vunder ,07/1928,1928,
16535,Tief In Veldele ,07/1928,1928,
16536,Mishenka,1928,1928,In Russian
16537,Kalinka,1928,1928,In Russian
16538,Ach. Sharaban Moi ,1928,1928,In Russian
16539,Platotchki,1928,1928,In Russian
16540,Kallarash,09/1922,1922,
16541,Roumeinishe Doina ,09/1922,1922,
16542,Veselyj Kossack ,09/1922,1922,
16543,Trepak,09/1922,1922,
16544,"Freit Aich, Yiddelach ",12/1922,1922,
16545,Hora Crismùlesolor ,12/1922,1922,
16546,Ukrainskyj Kazachok ,12/1922,1922,
16547,"'Krasota""-Kazachok ",12/1922,1922,
16548,Terkish-Bulgarish ,12/1922,1922,
16549,Sârba,12/1922,1922,
16550,Ukrainskyj Tanietz ,02/1923,1923,
16551,Kolomeika,02/1923,1923,
16552,Fihren Die Mechutonim Aheim-Tanz,02/1923,1923,
16553,Der Ziser Bulgar ,04/1923,1923,
16554,Vie Tsvie Is Naftule Der Driter ,04/1923,1923,
16555,Naftule Shpielt Far Dem Rebin ,04/1923,1923,
16556,Dem Rebin's Chusid ,04/1923,1923,
16557,Heiser Bulgar (Spirited Bulgar),05/10/1923,1923,
16558,Doina-Pt. 1 ,05/10/1923,1923,
16559,Doina-Pt. 2: Nachspiel,05/10/1923,1923,
16560,Turkishe Yalle Vey Uve (Turkish Dance),05/10/1923,1923,
16561,Lebedig Naftule,05/10/1923,1923,
16562,Der Iyd In Jerusaleim (The Jew In Jerusalem),03/31/1924,1924,
16563,Der Terkisher-Bulgar Tanz (The Turkish Bulgar Dance),03/31/1924,1924,
16564,Freid Sich Yiddalech (Be Happy),03/31/1924,1924,
16565,Der Terk In America ,03/31/1924,1924,
16566,Der Heisser-Tartar Dance ,07/17/1924,1924,
16567,Fufzehn Yahr Fon Der Heim Awek (Fifteen Years Away From Home)-Russian Dance ,07/17/1924,1924,
16568,Das Teureste In Bukowina (The Dearest One In Bukowina)-Bukowinian Dance,07/17/1924,1924,
16569,Wie Bist Die Gewesen Vor Prohibition? (Where Were You Before Prohibition?)-Bulgarian Dance,07/17/1924,1924,
16570,Sirba Romaniaska-Roumanian Dance ,4/1/1925,1925,
16571,Odesser Bulgar (Odessa Bulgar Dance),4/1/1925,1925,
16572,Leben Zol Palestina (Long Live Palestine) ,4/1/1925,1925,
16573,Honga Ciganeska-Roumanian Dance ,4/1/1925,1925,
16574,Bulgar Ala Naftule,4/1925,1925,
16575,"Naftule, Shpiel Es Noch Amol ",4/1925,1925,
16576,"Oi Tate, S' is Gut",4/1925,1925,
16577,A Hora Mit Tzibeles ,4/1925,1925,
16578,Hora Sinaia ,4/1925,1925,
16579,Araber Tanz (Arabian Dance),2/18/1926,1926,
16580,Fun Tashlach (New Year's Prayer At The River) ,2/18/1926,1926,
16581,Der Yiddisher Soldat In Die Trenches ,2/18/1926,1926,
16582,Zurick Fun Der Milchumo ,2/18/1926,1926,
16583,Bialy Mazur (Until Dawn Mazurka),10/25/1927,1927,
16584,Polka Konkatka ,10/25/1927,1927,
