Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
A Chasendl Oif Shabos,H 6031-A / H 6031-B,1941,Cantor Maurice Ganchoff,Asch Recording Studio,"78 RPM - 12"""
A Chasene In Shtetl,8238-F,,Seymour Rechtzeit,Columbia,"78 RPM - 10"""
A Chasene In Shtetl,40113,,Paul Burstein; Lillian Lux; Michael Burstein; Susan Burstein,Hataklit,Cassette tape
A Chasene In Shtetl - Oysgefirt Durkh Di 4 Burshteyns,12015,,Paul Burstein; Lillian Lux; Michael Burstein; Susan Burstein,Makolit,"33 1/3 RPM - 12"""
A Chasin Of Shabbis [The Cantor],901 [3] / 902 [3],,Al Jolson,Unknown,"78 RPM - 10"""
A Chasina of Probe,V-9021-A / V-9021-B,1929-10-29,Saltz Folks' Theatre Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
A Chasine In Shtetl,V-59027-A / V-59027-B,,Lea Degarith,Victor - His Master's Voice,"78 RPM - 12"""
A Chassidic Celebration,DP829,,Yoel Sharabi,Ahava Productions,"33 1/3 RPM - 12"""
A Chasuno (Chupo),35154-B / 35154-A,1907-06-27,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 12"""
A Chaver in Leben,72291-B / 72291-A,1918-05-16,Simon Paskal,Victor - His Master's Voice,"78 RPM - 10"""
A Chazen A Shiker,B-2042-A / B-2042-B,,Maurice Schwartz,Banner,"78 RPM - 10"""
A Chazen A Shiker,85000 A / 85000 B,1928-04-25,Maurice Schwartz,Brunswick,"78 RPM - 12"""
A Chazen a Shiker,75004-B / 75004-A,1928-04-25,Maurice Schwartz,Brunswick,"78 RPM - 12"""
A Chazen del auf Shabes,E5217,1920,Cantor Shloimele Rothstein,Columbia,"78 RPM - 12"""
A Chazen'dl In America,67106 B / 67106 A,1928-05-09,Aaron Lebedeff,Brunswick,"78 RPM - 10"""
A Chazn's Debut in a Klein Shtedtele,68570-A / 68570-B,1921-04-18,Joseph Winogradoff,Victor - His Master's Voice,"78 RPM - 12"""
A Child is Born - Episode 1,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
"A Child is Born - Episode 10, Part 1",,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
"A Child is Born - Episode 10, Part 2",,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 11,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 12,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 15,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 16,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 23,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 4,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 7,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 8,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episode 9,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episodes 17-18,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episodes 21-22,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episodes 25-26,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child is Born - Episodes 5 & 6,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
A Child To Me Is Born,8274-F,,Nuchem Nardie,Columbia,"78 RPM - 10"""
A Child's Day,TDP-2007,,Chedva Amrani,Eastronics Ltd.,"33 1/3 RPM - 12"""
A Child's Prayer,87094,1911-12-08,Ernestine Schumann-Heink,Victor Record,"78 RPM - 10"" single-sided"
A Chosen Auszuklauben,8018-F,1923,Jacob Sanger; Sinin; Miss Glicksman,Columbia,"78 RPM - 10"""
