Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
Lebedig Und Freylach,14019-B / 14019-A,1921-05,Kandel's Jewish Orchestra,Okeh,"78 RPM - 10"""
Lebedig Yankel,67092-A / 67092-B,1928-03-06,Aaron Lebedeff,Brunswick,"78 RPM - 10"""
Lebedig Yankel!,E-7980,1922-12,Abraham Rosenstein,Columbia,"78 RPM - 10"""
Lebedig Yankel!,E7980,1922-12,Abraham Rosenstein,Columbia,"78 RPM - 10"""
"Lebedig, Chatskel",8-80636-A / 8-80636-B,1927-10-25,Kandel's Jazz Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
Lebedik Yankel: Yiddish Songs from Warsaw Volume 2,102549,,,Skylark Productions,CD
Lebedik-In-Freilich,F-8006,,Annie Lubin; Max Badin,Standard,"78 RPM - 10"""
Lebekik Un Yiddish,T-66,,Pinie Goldsten - Anna Rappel,Tikva - Eurotone,"33 1/3 RPM - 12"""
Leben Soll Columbus,E2801,1916-03,Shir Hashirim,Columbia,"78 RPM - 10"""
Lebst Vider Oif,EV-1925 / EV-1926,,Pearl Chadwin,Pearl,"78 RPM - 10"""
Lech Lecha,E-3,,Cantor Samuel Kligfeld,Menorah,"78 RPM - 10"""
"Lech, Lech Lamidbar",MH-1093-A / MH-1093-B,,Elyakum,Folk Dancer,"78 RPM - 10"""
Lechaim Rebenu,40088-A / 40088-B,1924-11-18,Isa Kremer,Brunswick,"78 RPM - 10"""
Lechaim Yidn,,,Jakov Magid,Multisonic-Praha,Cassette tape
Lechayim,2185-1 / 2185-2,,Bernice Ashdown,Quality Records,45 RPM
Lecho Daudi,Jd. 046,1910,Cantor Wolf Wilder,Homokord,"78 RPM - 10"""
Lecho Dodi,R.10066 A / R.10066 B,1949,Cantor Louis Blumenthal,London,"78 RPM - 10"""
Lechododi,AN 43-15,,Cantor Yeshayahu Winrerch,Hed-Arzi,"33 1/3 RPM - 12"""
Lechu Neranena,LC 3476,,Zvi Sofer and Harry Fob,FSM Aulos,"33 1/3 RPM - 12"""
Lechu Neranena,FSM 53 539 AUL,,Zvi Sofer und der Synagogalchor Berlin,FSM Aulos,"33 1/3 RPM - 12"""
Lecture on Yiddish Folk Songs,,,Cantor Zvee Aroni,Private label,CD
Lectures in Tanya - Volume 1,405185,1963,Rabbi Joseph Wineberg,Kehot Publication,"33 1/3 RPM - 12"""
Lectures in Tanya - Volume 2,405186,1963,Rabbi Joseph Wineberg,Kehot Publication,"33 1/3 RPM - 12"""
Lectures on Jewish Music and the Jewish Family,Private,,Cantor Zvee Aroni,Private label,CD
Leduvid Mizmor,9401-A / 9401-B,1928-06-05,Cantor Sawel Kwartin,Victrola Record,"78 RPM - 12"""
Legacy,AD133,1986,Martin Chalfanow,Aderet Records,Cassette tape
Legend of the Canyon,1093-A / 1093-B,1925-02-25,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Legendary Bands of the 30's,CDD 485,,Benny Goodman; Cab Calloway; Dorsey Brothers,Proarte,CD
Legendary Entertainers,CDD 483,,Jimmy Durante; Helen Morgan; Sophie Tucker; Fanny Brice; Eddie Cantor,Proarte,CD
Légende,74337,1913-03-29,Efrem Zimbalist,Victor - His Master's Voice,"78 RPM - 12"" single-sided"
Légende,74337,1913-03-29,Efrem Zimbalist,Victor Record,"78 RPM - 12"" single-sided"
Légende,15423-A / 15423-B,,Yehudi Menuhin,Victor - His Master's Voice,"78 RPM - 12"""
Legende,7649-A / 7649-B,,Mischa Elman,Victrola Record,"78 RPM - 12"""
Legendry Cantorial Recitativi,,,David Montefiore,Behar/Berg Producers,Cassette tape
"Legends of Toil - Part 3 [Di legende fun arbeit, also known as ""Amol in a tsayt""]",2 A / 2 B,1940,Lazar Weiner,Musicraft,"78 RPM - 10"""
"Legends of Toil - Part 5 [Di legende fun arbeit, also known as ""Amol in a tsayt""]",3 A / 3 B,1940,Lazar Weiner,Musicraft,"78 RPM - 10"""
"Legends of Toil [Di legende fun arbeit, also known as ""Amol in a tsayt""]",1 A / 1 B,1940,Lazar Weiner,Musicraft,"78 RPM - 10"""
Leggiero invisibile - Bolero,88093,1907-07-24,Ernestine Schumann-Heink,Victrola Record,"78 RPM - 12"""
Lehakat Golanee,SP 31001,,The Golanee Ensemble,EMI,"33 1/3 RPM - 12"""
Lehakat Tsliley Haud,46365,,Lehakat Tsliley Haud,Koliphone,"33 1/3 RPM - 12"""
Lehakat Tsliley Haud,46373,,Lehakat Tsliley Haud,Koliphone,"33 1/3 RPM - 12"""
Lehitim Leyiladim,BAN14455,1974,Ilanit,Hed-Arzi,"33 1/3 RPM - 10"""
"Leib, Leib, A Guten Tug",E3518,1917-06,Joseph Feldman,Columbia,"78 RPM - 10"""
Leibesfeier,87032,1909-09-17,Ernestine Schumann-Heink,Victrola Record,"78 RPM - 10"" single-sided"
Leibt-Leibt,7-1616-A / 7-1616-B,,The Clowns,Pageant,"78 RPM - 10"""
Leicht Bentchen,13241,1923 - 1924,M. Michalesko,Emerson,"78 RPM - 10"""
Leil Machtorot,BAN14050,,Helena Hendel; Yehoram Gaon; Arik Einstein,Hed-Arzi,"33 1/3 RPM - 12"""
Leizer Badchen,1088 A / 1088 B,,Chaim Towber,DeLuxe,"78 RPM - 10"""
Lekhaim Idelekh,,,"The Moscow Male Jewish Choir""Chasdic Cappella""",Hasidic Cappella,CD
Lekhaym Yidn,310176-2,,Yakov Magid,Multisonic-Praha,CD
Lekovid Shabes,13187,1921-07,Aaron Lebedeff,Emerson,"78 RPM - 10"""
Lemel un seine szex vaiber,73681-B / 73681-A,1922-11-14,Anna Hoffman; Jacob Jacobs,Victor - His Master's Voice,"78 RPM - 10"""
Lenine And Trotsky,A 14561 / B 14561,1923-04,Morris Goldstein,Vocalion,"78 RPM - 10"""
Lenine and Trotsky,13228,1923-02,Morris Goldstein,Emerson,"78 RPM - 10"""
Lenine And Trotsky,13230,1923?,Morris Goldstein,Emerson,"78 RPM - 10"""
Leo Fuchs Sings Yiddish Theatre Favorites,GRC 174,,Leo Fuchs,Greater Recording Co.,"33 1/3 RPM - 12"""
Leo Fuld,S 63543,,Leo Fuld,CBS,"33 1/3 RPM - 12"""
Leo Fuld,JLP 2,,Leo Fuld,Simcha Procutions,"33 1/3 RPM - 12"""
Leo Fuld recorded in 1967,MDS S-3022,,Leo Fuld,Artone Records,"33 1/3 RPM - 12"""
Leo Fuld The International Singing Star,T-27,,Leo Fuld,Tikva - Eurotone,"33 1/3 RPM - 12"""
Leo Pevsner Songs (Album 1),82P-0644,,Leo Pevsner,Dover Records,"33 1/3 RPM - 12"""
Leo Rosenblüth sings Jewish Liturgical Music,BIS-CD-1,,Leo Rosenblüth,BiS,CD
Leo Rosenblüth sings Rosenblüth - Ephros - Pergament,LP-1,,Leo Rosenblüth,BiS,"33 1/3 RPM - 12"""
Leo Slezar & Richard Tauber sing Lieder,A-107,,Leo Slezar ; Richard Tauber,Asco Records,"33 1/3 RPM - 12"""
Leolom Yehei Odom,"A-35,005 / B-35,005",1921-07,Joseph Shlisky,Vocalion,"78 RPM - 12"""
Leolom Yehei Odom,25-5077-A / 25-5077-B,,Cantor Moshe Kusevitsky,RCA Victor,"78 RPM - 10"""
Leolom Yehei Odom,68661-B / 68661-A,1924-05-29,Cantor Mordechay Hershman,Victor - His Master's Voice,"78 RPM - 12"""
Leolom Yehei Odom (concluded),25-5078-A / 25-5078-B,,Cantor Moshe Kusevitsky,RCA Victor,"78 RPM - 10"""
Leolom Yhei Odom,B 2000 / A 2000,1921-07,Josef Shlisky,Vocalion,"78 RPM - 12"""
Leonard Bernstein - A Jewish Legacy,8.559407,,Various,Naxos,CD
Leonard Bernstein conducts West Side Story,415 254-2,1985,Leonard Bernstein,Polydor,CD
"Leonard Bernstein, Serenade for Violin Solo, Strings and Percussion",ML 5144,,Isaac Stern; Leonard Bernstein,Columbia,"33 1/3 RPM - 12"""
Leor Chiyuchech,MH 1151 b / MH 1151 a,1950,"Elyakum and his Israeli Orchestra, Mort Freeman",Folk Dancer,"78 RPM - 10"""
Les Abeilles,PM-640,,Corale Populaire Juive,Le Chante Du Monde,"78 RPM - 10"""
Les chants du Ghetto,B 77.483 L,,Sarah Gorby,Philips,"33 1/3 RPM - 12"""
Les chants du Ghetto,"630,034",,Sarah Gorby,Ricordi,"33 1/3 RPM - 12"""
Les Deux Serenades,89085,1915-02-06,Enrico Caruso; Mischa Elman,Victrola Record,"78 RPM - 12"" single-sided"
Les Farfadets,64128,1910-04-09,Mischa Elman,Victor Record,"78 RPM - 10"" single-sided"
Les Farfadets,64128,1910-04-09,Mischa Elman,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Les Inoubliables Chants du Ghetto,Arn 34357,,Sarah Gorby,Arion Paris,"33 1/3 RPM - 12"""
Les Miserables,MCC 15292,,Cast of show,Hed-Arzi,Cassette tape
Leshilton Bajartanu,102-1 / 102-2,,Brit Chayaley HaEtzel,Meysheerey HaMerred,"78 RPM - 10"""
Leshuno Tovoh,50001-B / 50001-A,1920-07,Simon Paskal,Brunswick,"78 RPM - 10"""
Leshuno Tovoh,40007-A / 40007-B,1920-07,Simon Paskal,Brunswick,"78 RPM - 10"""
Lest We Forget,AN 69-00,,Cantor Shalom Katz,Hed-Arzi,"33 1/3 RPM - 12"""
"Lest We Forget ""Yiskor""",JMDS 104,,Cantor Sholom Katz,Jewish Music Documentary Society,"33 1/3 RPM - 12"""
Lest We Forget - Yiskor Memorial Prayers,XWN 18646,,Cantor Sholom Katz,Westminster Recording,"33 1/3 RPM - 12"""
Let Freedon Sing!,L-301,,Paul Robeson,Orthello,"33 1/3 RPM - 10"""
Let it Go,AN 13-33,,Benzion Witler,Hed-Arzi,"33 1/3 RPM - 10"""
Let Me Hear Thy Voice,BSK 1,,Barbara Ostfeld,Beth Sholom-Kolayh Records,"33 1/3 RPM - 12"""
Let Me Hear Your Voice,,,Shlomo Yosel Wruble,Shir Productions,Cassette tape
Let My People Go,978,,Zmira Chen,Bell Records,45 RPM
Let My People Go,SI 31021,,Various,Yisrael,"33 1/3 RPM - 12"""
Let My People Go,HYS102,,The Messengers,HY Records,"33 1/3 RPM - 12"""
Let My People Go,MBD 410,,Mordechai Ben David,Aderet Records,"33 1/3 RPM - 12"""
Let My People Go,MBD 410,,Mordechai Ben David,Aderet Records,Cassette tape
Let My People Go!,WRC 304,,Batsheva Paul,Delta Music Inc,45 RPM
Let My People Laugh and Sing,645757,,Sy Kleinmen; Paul Zim,Vocaleeze,Cassette tape
Let My People Laugh and Sing,645757,,Sy Kleinmen; Paul Zim,Vocaleeze,"33 1/3 RPM - 12"""
Let My People Sing,102336,2013,,Unknown,CD
Let the Door Knob Hitcha,35962,1941-01-14,Benny Goodman; Cootie Williams,Columbia,"78 RPM - 10"""
Let There Be Light A Hannukah Celebration,41003,,The Rochester Singers,WXXI FM,"33 1/3 RPM - 12"""
Let There Be Music,,,Baruch Cohon,Private label,CD
Let There Be Music,,,Baruch Cohon,Private label,Cassette tape
Let There Be Shalom,MEN-601,,The Brothers Zim,Menorah,"33 1/3 RPM - 12"""
Let There Be Shalom,8-601,,The Brothers Zim,Menorah,8-track tape
Let There Be Shalom,5-601,,The Brothers Zim,Menorah,Cassette tape
Let Us Sing - Israeli and Yiddish Folk Songs - Old and New,RLP 17,,Miriam Jacobi & Ahuva Shai,Reena,"33 1/3 RPM - 12"""
Let's All Sing Along,CGL 621,1961,The Shalom Singers,Collector's Guild,"33 1/3 RPM - 12"""
Let's Be Freilach,ALP 1001,,Jay Chernow and his Hi-Hats Ensemble,"Aleph, Inc.","33 1/3 RPM - 12"""
Let's Dance,AN 42-47,,Yaffa Yarkoni,Hed-Arzi,"33 1/3 RPM - 12"""
Let's Dance,4XL-9090,,Benny Goodman,Capitol Records,Cassette tape
Let's Dance,13-06,,David Eshet,Hed-Arzi,"33 1/3 RPM - 10"""
Let's Dance - Nirkoda Volume 2,AN 48-56,,Department of Education and culture,Hed-Arzi,"33 1/3 RPM - 12"""
"Let's Dance Israeli Folk Dances, Vol. 4",MM 35097,,Jonothon Gabay,Hataklit,"33 1/3 RPM - 12"""
Let's Dance with Effi Netzer and his Band,MM-30741,,Effi Netzer,Hataklit,"33 1/3 RPM - 12"""
Let's Go For a Ride!,EC-913-C; EC-913-D ,,,Bureau of Jewish Education - LA Jewish Community Council,"78 RPM - 10"""
Let's Go West Again,9-24905,1950-01-23,Al Jolson,Decca,45 RPM
Let's Go West Again,24905,1950-01-23,Al Jolson,Decca,"78 RPM - 10"""
Let's Hear the Melody,GL 102,,Benny Goodman,Columbia,"33 1/3 RPM - 10"""
Let's Make Latkes,P 7 / P 8,,Gladys Gerwirtz; Eve Lippman,Menorah,"78 RPM - 7"""
Let's Not Talk About Love,36582,1942-01,Danny Kaye,Columbia,"78 RPM - 10"""
Let's Play Maccabees,"S 10,004",,Heidy Mayer,Reena,"78 RPM - 10"""
Let's Play Maccabees - Side 3,"S 10,004",,Heidy Mayer,Reena,"78 RPM - 10"""
Let's Sing - Lomir Alae Zingen,T-943,,Jewish Folk Choruses,Tikva - Eurotone,"33 1/3 RPM - 12"""
Let's Sing - Songs for Young Jewish Children,NR-10152,,Temple Beth Am Day School,Private label,"33 1/3 RPM - 12"""
Let's Sing - Songs of Mordecai Zeira and Other Beautiful Songs,80812,,The Air Force Singers,CBS,"33 1/3 RPM - 12"""
Let's Sing A Yiddish Song - Lomir Zingen A Yiddish Lid,C 134,,Gerry Tenney and Betty Albert Schreck,Global Village,Cassette tape
Let's Sing along in Prayer,,,Cantor Harold Klein,Mydas Music Company,Cassette tape
Let's Sing and Celebrate,,,Cantor Harold Klein,Mydas Music Company,Cassette tape
Let's Sing the Aleph Beis,MA 400,,Neshoma Orchestra,Michael Allen production,"33 1/3 RPM - 12"""
Let's Sing Yiddish - Original Cast Album,SR 42022,,Ben Bonus,Roulette Records,"33 1/3 RPM - 12"""
Let's Sing Z'mirot,05758,,Paul Zim,Simcha Procutions,Cassette tape
Let's Take a Trip to Israel,,,Sara Feinstein,Zemer,"33 1/3 RPM - 12"""
Let's Talk About G-d,KB 3954,,Dorothy K. Kripke,The Sound of Learning,"33 1/3 RPM - 12"""
Leteli Kukushki,E7316,1921-06,Medoff's Russian Chorus,Columbia,"78 RPM - 10"""
Lets Dance A Frailachs,502,,Barton Brothers,Apollo,"78 RPM - 10"""
Letter Song,956-A / 956-B,,Hugo Kreisler; Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Levine (Mit sein Flying machine),79434-B / 79434-A,1927-06-14,Charles Cohan,Victor - His Master's Voice,"78 RPM - 10"""
Levine and His Flying Machine,21006,,Kapelye,Shanachie Records,"33 1/3 RPM - 12"""
Levine and His Flying Machine,21006,,Kapelye,Shanachie Records,Cassette tape
Levine mit zein Flihender Machine,8138-F,1927-06,Irving Grossman,Columbia,"78 RPM - 10"""
Levinsky at the Wedding,A2310,1917-03-16,Julian Rose,Columbia,"78 RPM - 10"""
Levinsky At The Wedding - Part III,A2366,1917-03-16,Julian Rose,Columbia,"78 RPM - 10"""
Leytest steyl,E3471,1917-06,Clara Gold,Columbia,"78 RPM - 10"""
Li-shana ha-ba bi-yerushalayim,57000 F,1923,Cantor Shloimele Rothstein,Columbia,"78 RPM - 12"""
Libabtini: A Heart Offering,TR0501D,,Ramón Tasat,Ramon Tasat,CD
Libe Is a Paradis,03703 / 03703 B,1925?,Michal Michaelsko,Pathe,"78 RPM - 10"""
Liberation-A Coral Symphony,,,The Israel Philharmonic Orchestra,David Franco,Cassette tape
Licht Benchen,B-583-B / B-583-A,,Miriam Kressyn,Banner,"78 RPM - 10"""
Lieb Mich In Die Welt Is Mein,E811,1911-01-30,Hyman Adler,Columbia,"78 RPM - 10"""
Liebe,25-5061-B / 25-5061-A,1941-06-05,Seymour Rechtzeit,RCA Victor,"78 RPM - 10"""
Liebe,V-9099-B / V-9099-A,1941-06-05,Seymour Rechtzeit,Victor - His Master's Voice,"78 RPM - 10"""
Liebe,67073-A / 67073-B,1927-05-13,David Medoff,Brunswick,"78 RPM - 10"""
Liebe,A 13055 / B 13055,,David Medoff,Vocalion,"78 RPM - 10"""
Liebe Fun Fershiedene Felker,8100-F,1925-12,Molly Picon,Columbia,"78 RPM - 10"""
Liebe Sheindele,E-7234,1921-05,William Schwartz,Columbia,"78 RPM - 10"""
Liebe Sheindele,E7234,1921-05,William Schwartz,Columbia,"78 RPM - 10"""
Liebende Herzer,67098 A / 67098 B,1928-04-27,Irving Grossman,Brunswick,"78 RPM - 10"""
Liebes Romance,03680 / 03680 B,,Joseph Feldman,Pathe,"78 RPM - 10"""
Liebes Schpielchel,E7873,1922-12,William Schwartz,Columbia,"78 RPM - 10"""
Liebes Schpielchel,E-7873,1922-12,William Schwartz,Columbia,"78 RPM - 10"""
Liebes Shmerzen,73656-A / 73656-B,1922-12-04,William Robyn,Victor - His Master's Voice,"78 RPM - 10"""
Liebesfreud,6182-A / 6182-B,1916-01-14,Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Liebesfreud,74196,1910-05-13,Fritz Kreisler,Victrola Record,"78 RPM - 12"" single-sided"
Liebesfreud,74196,1916-01-14,Fritz Kreisler,Victor - His Master's Voice,"78 RPM - 12"" single-sided"
Liebesfreud,6608-A / 6608-B,1926-04-14,Fritz Kreisler,Victor - His Master's Voice,"78 RPM - 12"""
Liebesleid,74333,1912-12-18,Fritz Kreisler,Victor Record,"78 RPM - 12"" single-sided"
Liebesleid,74333,1912-12-18,Fritz Kreisler,Victrola Record,"78 RPM - 12"" single-sided"
Liebesleid,74333,1912-12-18,Fritz Kreisler,Victor - His Master's Voice,"78 RPM - 12"" single-sided"
"Liebestraum, No. 3",36337-A / 36337-B,,Artur Rubinstein,Victor - His Master's Voice,"78 RPM - 12"""
Lieder - Maurice Ravel,6.41873,,Bernard Kruysen ; Noel Lee,Telefunken,"33 1/3 RPM - 12"""
Lieder aus dem Ghetto - Songs of the Ghettos,CLA DPF 1100,,unknown,Hed-Arzi,"33 1/3 RPM - 12"""
"Lieder Krantz, Ershter Theil",57033-F,1927 - 1928,Cantor Mordechay Hershman,Columbia,"78 RPM - 12"""
"Lieder Krantz, Ershter Theil",57067-F,,Cantor Mordechay Hershman,Columbia,"78 RPM - 12"""
"Liederkranz, Medley of Eastern European Folk Songs / Lubin, Cantata in Three Movements",EV-2280,,American Jewish Choral Society of Los Angeles,Electro-Vox,"33 1/3 RPM - 12"""
Liege Kinder Yuhr,14085-A / 14085-B,,Joseph Feldman,Okeh,"78 RPM - 10"""
Life Begins at Forty,11047,,Sophie Tucker,Decca,"78 RPM - 10"""
Life Begins at Forty,23033 A / 23033 B,,Sophie Tucker,Decca,"78 RPM - 10"""
Life Goes to a Party,25726-A / 25726-B,1937-11-12,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Life is a Dream - Episode 13 & 14,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
Life is a Dream - Episode 15 & 16,,,Louis Freiman,Frankay & Jackson,"33 1/3 RPM - 16"""
Life is a Wonderful Thing,5901,1950? - 1952?,Sophie Tucker,Mercury Publications,"78 RPM - 10"""
Life Size,85471,,Danny Sanderson,CBS,"33 1/3 RPM - 12"""
Life's a Lesson,GO-53703,,Ben Sidran,Go Jazz Records,Cassette tape
Life's Dream is O'er,87201,1914-05-20,Alma Gluck; Louise Homer,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Lifeline,,,Beged Kefet,Tullen Sound Recording,Cassette tape
Light,CD15329,,Shoshana Damari,Hed-Arzi,CD
Light Cavalry Overture,11-9954-A / 11-9954-B,,Arthur Fiedler,Victor - His Master's Voice,"78 RPM - 12"""
Lights Music For Chanukah,SK 403,,Zamir Chorale and Joshua Jacobson,AFKA Records,Cassette tape
Like a Rushing Spring,,,Naomi Teplow,Naomi Teplow,CD
Like a Wild Flower,80591,,Chava Alberstein,CBS,"33 1/3 RPM - 12"""
Like a Wild Flower,80591,,Chava Alberstein,CBS,Cassette tape
Likras Shabos,FAM-1003,,Cantor Frederick Lechner,Famous Records,"33 1/3 RPM - 12"""
Likras Shabos,LPM-3242,,Cantor Frederick Lechner,RCA Victor,"33 1/3 RPM - 10"""
Likrat Shabat / Se'ee Yona,1D-1011-A / 1D-1011-B,,unknown,Jimmy Jones Recording Studios,45 RPM
Likrat Shabbat - Vol. 1,,,Chaim Parchi,C.Parchi,Cassette tape
Limehouse Blues,1789-D,1928-12-11,Ted Lewis,Columbia,"78 RPM - 10"""
Line Monty Chante en Francais,OS 25,,Line Monty,OSI Disques,"33 1/3 RPM - 12"""
Lingering Down the Lane,20-3529-A / 20-3529-B,,Irving Fields,RCA Victor,"78 RPM - 10"""
Lipkin Conducts,CRI SD 259,,Lipkin Conducts,CRI Recordings,"33 1/3 RPM - 12"""
Listen and Learn Modern Hebrew,98883-X,,Yaakov Ben Israel;Yardena&Reuven Adiv,Dover Publication,"33 1/3 RPM - 12"""
Listen and Learn Modern Hebrew,,,Yaakov Ben Israel;Yardena&Reuven Adiv,Dover Publication,"33 1/3 RPM - 12"""
Listen Buddy,AN 41-67,,Central Command Variety Ensemble,Hed-Arzi,"33 1/3 RPM - 12"""
Listen to the Mocking Bird,74465,1916-02-18,Alma Gluck,Victrola Record,"78 RPM - 12"" single-sided"
Listen to the Mocking Bird,6142-B / 6142-A,1916-02-18,Alma Gluck,Victrola Record,"78 RPM - 10"""
Listen to the Rain,MN 1006,,Rivka Sturman,Hed-Arzi,"33 1/3 RPM - 7"""
Listen…,KY 104,,Michoel Streicher,Kol Yisroel Productions,Cassette tape
Liszt/Schubert,LSC-2871,,Artur Rubistein,RCA Victor,"33 1/3 RPM - 12"""
Little Bird - Song of Songs,HZ40,,Shimon Kugel,Galpaz,"33 1/3 RPM - 12"""
Little Butterfly,19219-A / 19219-B,1923-10-22,John Steel,Victor - His Master's Voice,"78 RPM - 10"""
Little Grey Home in the West,64412,1914-03-07,Alma Gluck,Victrola Record,"78 RPM - 10"" single-sided"
Little Grey Home in the West,64412,1914-03-07,Alma Gluck,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Little Grey Home in the West,656-A / 656-B,1914-03-07,Alma Gluck,Victrola Record,"78 RPM - 10"""
Little Note Book for Anna Magdalena Bach,CBS54201,,Rami Bar-Niv,CBS,"33 1/3 RPM - 12"""
Little Pal,4400,1929-04-11,Al Jolson,Brunswick,"78 RPM - 10"""
Little Tel Aviv,AN 46-65,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Little Tel Aviv,S-1008,,Arie Levanon,Shirim,"33 1/3 RPM - 12"""
Little Yomo,,,Fred Vogel,Ktav,"78 RPM - 7"""
Little Yomo,KTAV 1,,Fred Vogel,Ktav,78 rpm record
Liturgic and Folk Song Favorites - The Art of Cantor Karl Neumann,ALE 100,,,Archives Limited Editions,"33 1/3 RPM - 12"""
Liturgical Classics,355,,Cantor Samuel Vigoda (Vigodas),ABC Records,"33 1/3 RPM - 10"""
Liturgical Gems,18145,,Eddie Cantor,Royale,"33 1/3 RPM - 10"""
Liturgical Gems,343,,Cantor Henry Wahrman,ABC Records,"33 1/3 RPM - 10"""
Liturgical Gems,343,,Cantor Henry Wahrman,ABC Records,"33 1/3 RPM - 9"""
Liturgical Gems by the Master,Z29981/2,,Cantor Samuel Malavsky and his family choir,Recorded Publications Company,"33 1/3 RPM - 12"""
Liturgical Masterpieces / L'fichoch Anachnu Chayuvim,WS 104 / 53-2514-A / 53-2514-B / 53-2515-A / 53-2515-B,,Leibele Waldman,RCA Victor,45 RPM
Liturgical Moods,WB 112,,Cantor Ivan E. Perlman,Capitol Records,"33 1/3 RPM - 12"""
Liturgical Music for the High Holydays,F/W 11846,,Cantor Ben Maissner,Frankford Wayne Recording Labs,"33 1/3 RPM - 12"""
"Liturgical Music of the Synagogue for the High Holy Days, No. 1 & 2",41387/8,,Frederick Lechner and the Choir of Central Synagogue of New York City,World Broadcasting System (Decca),"33 1/3 RPM - 16"""
"Liturgical Music of the Synagogue for the High Holy Days, No. 1 & 2",41387/8,,Frederick Lechner and the Choir of Central Synagogue of New York City,United Jewish Laymen's Committee,"33 1/3 RPM - 16"""
"Liturgical Music of the Synagogue for the High Holy Days, No. 3",41389,,Frederick Lechner and the Choir of Central Synagogue of New York City,World Broadcasting System (Decca),"33 1/3 RPM - 16"""
"Liturgical Music of the Synagogue for the High Holy Days, No. 3",41389,,Frederick Lechner and the Choir of Central Synagogue of New York City,United Jewish Laymen's Committee,"33 1/3 RPM - 16"""
Liturgy of Dohany Street Synagogue,HCD18134-2,,Cantor Sandor Kovacs,Hungaroton,CD
Liturgy of Dohany Street Synagogue,SLPD 18091,,Sandor Kovacs,Hungaroton,Cassette tape
Litvishe Drooshe,73157-A / 73157-B,1920-01-27,Rubin Goldberg,Victor - His Master's Voice,"78 RPM - 10"""
Liubimy Gorod,3038-A / 3038-B,,M.N. Berness,Stinson,"78 RPM - 10"""
Live at the Algonquin,60743-2,,Michael Feinstein,Electra,CD
Live At the Del,JFP 607,,Debbie Friedman,"Sounds Write Productions, Inc.",CD
Live At the Del,SWP 607,,Debbie Friedman,"Sounds Write Productions, Inc.",Cassette tape
Live At the Del,JFP 607,,Debbie Friedman,"Sounds Write Productions, Inc.",Cassette tape
Live at the Jafffa Cave,65111,,Yaffa Yarkoni,CBS,"33 1/3 RPM - 12"""
Live Cantorial Concert,IMC 1058/9,,unknown,Israel Music Foundation,Cassette tape
Live Chassidic Wedding,NZ770,,Freilach Orchestra,Simcha Sason,"33 1/3 RPM - 12"""
"Live from ""King David's Tomb""",CBS-84602,,The Diaspora Yeshiva Band,CBS,Cassette tape
"Live from ""King David's Tomb""",CBS84602,,The Diaspora Yeshiva Band,CBS,"33 1/3 RPM - 12"""
Live From New York,300187,1992,Avi Albrecht ; Dov Keren,Private label,Cassette tape
Live in Concert,MOR 801,,The Messengers,Perfection Sound Studio,"33 1/3 RPM - 12"""
Live in concert,1001,,The Eilat Duo,Shawn Records,"33 1/3 RPM - 12"""
Live in Concert 1,CDH 231,,Israel Rand,Noam Productions,CD
Live in Concert I,CPK-1,,Cantor Paul Kowarsky,Kannekt Records,Cassette tape
Live in Concert II,,,Cantor Paul Kowarsky,Kannekt Records,CD
Live In Jerusalem,BAN 14640,,Mike Burstyn,Hed-Arzi,"33 1/3 RPM - 12"""
Live in Tel-Aviv,BAN 14317,,Esther Ofarim,Hed-Arzi,"33 1/3 RPM - 12"""
Live in Tel-Aviv,BAN 14317,,Esther Ofarim,Hed-Arzi,Cassette tape
Live In The Fiddler's House,7243 5 56209 2 7,,Itzhak Perlman,Angel Records,CD
Live In The Fiddler's House,7243 5 56209 4 1,,Itzhak Perlman,Angel Records,Cassette tape
Live Recording of Emil Gorovets in Moscow,5289-88,,Emil Gorovets,Melodiya,"33 1/3 RPM - 12"""
Living and Laughing,531A / 531B,,Benny Bell,Bell Records,"78 RPM - 10"""
Living Hebrew - A Complete Language Course,TV-27564/65/66/67/68/69/70/71,,unknown,The Living Language Courses,"33 1/3 RPM - 10"""
Living Hebrew - A Complete Language Course,LL-HEB-1/2/3/4/5/6/7/8,,,The Living Language Courses,"33 1/3 RPM - 10"""
Living in Yishmoel's World,72C,,Rabbi Naftoly Bier,Kollel of Greater Boston,Cassette tape
Living Prayers,VS-504,,Cantor Aaron Caplow,Vision & Sound,"33 1/3 RPM - 12"""
Living Together,8T-3527,,Burt Bacharach,AME Records,8-track tape
Liza,25660-A / 25660-B,1937-08-02,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Liza (All the Clouds'll Roll Away),4402,1929-07-25,Al Jolson,Brunswick,"78 RPM - 10"""
Lo Omus,D5-SC-749-1B / D5-CC-750-1B,,Cantor Frederick Lechner,UAHC - HUC,"78 RPM - 12"""
