R53,1997 CCAR - Miami - Monday Morning Service,CCAR-178-1997,,unknown,"Life Communications, Inc.",Cassette tape
R54,1997 CCAR - Miami - Shabbat Tape 1: Text Study: Sanctifying Shabbat: Kiddush & Havdahah,CCAR-101-1997,,Mark Washofsky,"Life Communications, Inc.",Cassette tape
R55,1997 CCAR - Miami - Shabbat Tape 2: Creating a Shabbat Community: Friday Night? Saturday?,CCAR-102-1997,,M. Kram; L. Kushner; S. Milgrom,"Life Communications, Inc.",Cassette tape
R56,1997 CCAR - Miami - Shabbat Tape 4: Taking Shabbat Home,CCAR-104-1997,,A. Greenbaum; D. Greenbaum; M. Michaels,"Life Communications, Inc.",Cassette tape
R57,1997 CCAR - Miami - SYNA #3/Leadership #3: Leadership Models - Searching the Sources for Models,CCAR-110-1997,,David Ellenson,"Life Communications, Inc.",Cassette tape
R58,1997 CCAR - Miami - T'Fila Tape 4: Language and Prayer,CCAR-166-1997,,Dr. Rachel Adler,"Life Communications, Inc.",Cassette tape
R59,1997 CCAR - Miami - The Freehof Institute: (Part #1),CCAR-191-1997,,S. Passamaneck; C. Librach; M. Zemer ; R. Block,"Life Communications, Inc.",Cassette tape
R60,1997 CCAR - Miami - The Freehof Institute: (Part #2),CCAR-192-1997,,S. Passamaneck; C. Librach; M. Zemer ; R. Block,"Life Communications, Inc.",Cassette tape
R61,1998 CCAR - Anaheim - The Love that Dare not Speak its Name,,,C. Angel; J. Danzig ; J. Litman,"Life Communications, Inc.",Cassette tape
R62,"2 Live Jews: ""As Kosher as They Wanna Be""",HTCD3328,,MC Moisha ; Easy Irving,Kosher Records,CD
R63,"2 Live Jews: ""As Kosher as They Wanna Be""",HTCT 3328,,MC Moisha ; Easy Irving,Kosher Records,Cassette tape
R64,"2 Live Jews: ""Fiddling With Tradition""",HTCT 3339,,MC Moisha ; Easy Irving,Kosher Records,Cassette tape
R65,2 Song Cycles by Hugo Weisgal - The Golden Peacock - Translations,CRI SD 417,,Hugo Weisgal; Judith Raskin; Morey Ritt,"Composers Recordings, Inc.","33 1/3 RPM - 12"""
R66,20 Famous Chassidic Melodies,GRC 134,,The Epstein Brothers Orchestra,Greater Recording Co.,"33 1/3 RPM - 12"""
R67,20 Sing-A-Long,7474,,Chaim Chadad,Koliphone,8-track tape
R68,20 Sing-A-Long,7474,,Chaim Chadad,Koliphone,"33 1/3 RPM - 12"""
R69,20 Singing Years,12073,,Hadassah Sigalov,Makolit,"33 1/3 RPM - 12"""
R70,20th Century Yiddish Humor as told by the centry's greatest comedians,BA-1004,,Various,Banner,"33 1/3 RPM - 12"""
R71,20th Century Yiddish Humor as told by the centry's greatest comedians,BAS-1004,,Various,Banner,"33 1/3 RPM - 12"""
R72,24 Favorite Yiddish Songs,CM506,,Sidor Belarsky,Artistic Enterprises,Cassette tape
R73,24 Songs for Chidren,46349,,Noam Kaniel; Ophira Gloska; Motti Fleischer,Koliphone,"33 1/3 RPM - 12"""
R74,25 Years of Israel in Songs,BAN 14312,1973,Shoshana Damari; Yaffa Yarkoni; Aric Einstein,Hed-Arzi,"33 1/3 RPM - 12"""
R75,25 Years of Jewish Music,HL-803,,Sheya Mendlowitz,Holyland Music,CD
R76,25 Years of Jewish Music Vol. 1,HL 803,,Neginah Orchestra and Yisroel Lamm,Holyland Records & Tapes,Cassette tape
R77,25 Years of Song from Israel,P11704,,Nahalel Singers,CBS,"33 1/3 RPM - 12"""
R78,25 Years of Song from Israel,67286,,The Parvarin; Yaffa Yarkoni; Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
R79,25th Anniversary Concert,,,Cantor Joseph Feuer,Mills Music,"33 1/3 RPM - 12"""
R80,25th Anniversary of the Israeli Philharmonic Orchestra / Folk Music of Israel,VZL 119/120,,Israel Philharmonic Orchestra; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
R81,29 Holiday Songs for Children,46350,,Dudu Dotan; Susy Miller; Varda shagay,Koliphone,"33 1/3 RPM - 12"""
R82,30 Chanukah Songs for Children,53738,,Yemey Hachanukah Choir; Ruhama; Dudo Elharar,CBS,"33 1/3 RPM - 12"""
R83,30 Golden Moments of Music,EB 103,,Epstein Brothers Orchestra,E.B. Recording Production,"33 1/3 RPM - 12"""
R84,30 Greatest Jewish Songs,7000,,Benedict Silberman,Biram,CD
R85,30 Holiday Songs for Tots,53825,,Chag Lataf,CBS,"33 1/3 RPM - 12"""
R86,30 Years of Israël,AT/K 600,,unknown,Atoll Music,Cassette tape
R87,30 Years of Israel in 30 Songs,XX 20031 /  XX 22031,,Various,Hataklit,"33 1/3 RPM - 12"""
R88,30 Years of Melody,TC 31125,,,Isradisc Ltd.,Cassette tape
R89,30 Years of Melody,SI 31125,,The Gevatron;Eli Gorenstein;Oshik Levy,Isradisc Ltd.,"33 1/3 RPM - 12"""
R90,30 Years with Yaffa Yarkoni,DD 35184,,Yaffa Yarkoni,Hataklit,"33 1/3 RPM - 12"""
R91,32 Golden Hits of the Nahal,22073,1980,Various,CBS,"33 1/3 RPM - 12"""
R92,36 Jewish Children's Songs,BH-12,,Matthew Levitan,Suki & Ding Productions,Cassette tape
R93,40 Favorite Jewish Melodies,SRLP 10055,,Musical League of Tel Aviv,Request Records,"33 1/3 RPM - 12"""
R94,40 Favorite Jewish Melodies,847-10055,,John Peters,Request Records,8-track tape
R95,40 Favorite Jewish Melodies,RLP 10055,,John Peters,Request Records,"33 1/3 RPM - 12"""
R96,40 Favorite Jewish Melodies,C10055,,John Peters,Request Records,Cassette tape
R97,40 Minutes in Israel,MW 1001,,Mosad Aliyah Children's Village Orchestra and Choir,Mizrachi Women's Organization of Americaq,"33 1/3 RPM - 12"""
R98,40 Years of Hazzanut in Montreal,SGHM-01/2,,various,Private label,Cassette tape
R99,40 Years of Hazzanut in Motreal (1957-1997),ALS-401,,Nathan Mendelson; JoshuaDlin; Moshe Erlich,The Council of Hazzanim,Cassette tape
R100,44 Hours in Jerusalem - The Visit of President Anwar Sadat - November 1977,53810,,Various,CBS,"33 1/3 RPM - 12"""
R101,50 Childrens Songs,T-143,,M. Harnick and M. Benai - Children Choir of the Jerusalem Conservatory,Tikva - Eurotone,"33 1/3 RPM - 12"""
R102,50 Songs You'll Always Love,SMIC-6A,,Irving Fields,"Suffolk Marketing, Inc.",Cassette tape
R103,"50 Years of Kibbutz Ein-Charod, 5731",403545,,various,Ein-Charod,"33 1/3 RPM - 12"""
R104,50 [Childrens Songs],11,,M. Harnick and M. Benai - Children Choir of the Jerusalem Conservatory],Studio Recordings,"33 1/3 RPM - 12"""
R105,51 Children Songs,MM 30570,,Esther Sophir,Hataklit,"33 1/3 RPM - 12"""
R106,51 Holiday Songs for Eyal,SA 32029,,Various,Isradisc Ltd.,"33 1/3 RPM - 12"""
R107,51 Holiday Songs for Eyal,SA 32027,,Various,Isradisc Ltd.,"33 1/3 RPM - 12"""
R108,51 Songs for Limor,SA 32039,,Uri Berger; David Zakai; Dorit Reuveni; Revital Amit,Triton Studios,"33 1/3 RPM - 12"""
R109,51 Songs for Limor,SA 32038,,Tzipi Shavit; Dorit Reuveni,Isradisc Ltd.,"33 1/3 RPM - 12"""
R110,543 Shirim L'chagim,AN 15017,,Israel Gurion; Yona Elian; etc.,Hed-Arzi,"33 1/3 RPM - 12"""
R111,543 V'chaizi,BAN 14836,,Israel Gurion; Yona Elian; etc,Hed-Arzi,"33 1/3 RPM - 12"""
R112,6 Days of Laughter,BAN 14020,,Chaim Polani,Hed-Arzi,"33 1/3 RPM - 12"""
R113,6 Million Accuse,UAL -9003,,Produced; Edited and Narrated by: Yehuda Lev,United Artists Records,"33 1/3 RPM - 12"""
R114,6 Million in Heaven - 3 Million in Hell,61772,,Shlomo Carlebach,Menorah,"33 1/3 RPM - 12"""
R115,6 Sipurei Yiladim,None,,Esther Sofer,Amit Records,"33 1/3 RPM - 12"""
R116,613 Torah Avenue - Songs for Chumash B'reishis,CR001,1977,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
R117,613 Torah Avenue - Vol. II - Songs for Chumash Shemos,CR002,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
R118,613 Torah Avenue - Vol. III - Songs for Chumash Vayrikrah,CR003,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
R119,613 Torah Avenue - Vol. IV - Songs for Chumash Bamidbar,CR004,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
R120,613 Torah Avenue - Vol. VII - Songs for Tefilah,CR007,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,Cassette tape
